Date/Time,Lat,Lon,dayname,hour,time,cat_timeday,timeday
2014-07-16 19:37:00,40.7558,-73.9771,Wednesday,19,19:37:00,Evening,Wednesday Evening
2014-09-28 16:18:00,40.7585,-73.9818,Sunday,16,16:18:00,Afternoon,Sunday Afternoon
2014-05-08 13:29:00,40.7767,-73.9555,Thursday,13,13:29:00,Afternoon,Thursday Afternoon
2014-08-01 10:37:00,40.7066,-74.0064,Friday,10,10:37:00,Morning,Friday Morning
2014-08-11 07:27:00,40.7615,-73.9702,Monday,7,07:27:00,Morning,Monday Morning
2014-06-21 14:10:00,40.7426,-73.9961,Saturday,14,14:10:00,Afternoon,Saturday Afternoon
2014-09-19 05:56:00,40.7822,-73.9803,Friday,5,05:56:00,Morning,Friday Morning
2014-05-23 21:01:00,40.721,-73.9945,Friday,21,21:01:00,Night,Friday Night
2014-05-08 14:30:00,40.7057,-74.0071,Thursday,14,14:30:00,Afternoon,Thursday Afternoon
2014-09-24 08:45:00,40.7244,-73.9906,Wednesday,8,08:45:00,Morning,Wednesday Morning
2014-08-19 09:53:00,40.7284,-73.9848,Tuesday,9,09:53:00,Morning,Tuesday Morning
2014-07-06 07:59:00,40.7441,-73.9955,Sunday,7,07:59:00,Morning,Sunday Morning
2014-09-23 08:28:00,40.6463,-73.79,Tuesday,8,08:28:00,Morning,Tuesday Morning
2014-09-08 13:01:00,40.7264,-74.009,Monday,13,13:01:00,Afternoon,Monday Afternoon
2014-07-25 22:01:00,40.7545,-73.9799,Friday,22,22:01:00,Night,Friday Night
2014-08-01 16:41:00,40.755,-73.9882,Friday,16,16:41:00,Afternoon,Friday Afternoon
2014-07-10 08:08:00,40.7107,-73.9649,Thursday,8,08:08:00,Morning,Thursday Morning
2014-05-13 01:19:00,40.6384,-73.9338,Tuesday,1,01:19:00,Night,Tuesday Night
2014-07-18 02:12:00,40.7234,-73.9958,Friday,2,02:12:00,Night,Friday Night
2014-05-28 15:45:00,40.7672,-73.9683,Wednesday,15,15:45:00,Afternoon,Wednesday Afternoon
2014-07-18 09:34:00,40.6798,-73.9658,Friday,9,09:34:00,Morning,Friday Morning
2014-05-24 11:07:00,40.7197,-73.9591,Saturday,11,11:07:00,Morning,Saturday Morning
2014-09-21 00:33:00,40.7255,-73.9839,Sunday,0,00:33:00,Night,Sunday Night
2014-09-22 05:47:00,40.8037,-73.9573,Monday,5,05:47:00,Morning,Monday Morning
2014-09-24 20:32:00,40.7267,-73.9573,Wednesday,20,20:32:00,Evening,Wednesday Evening
2014-09-20 19:53:00,40.7442,-73.9875,Saturday,19,19:53:00,Evening,Saturday Evening
2014-05-14 21:31:00,40.7673,-73.9842,Wednesday,21,21:31:00,Night,Wednesday Night
2014-05-29 12:18:00,40.6937,-73.983,Thursday,12,12:18:00,Afternoon,Thursday Afternoon
2014-04-10 20:31:00,40.6448,-73.7825,Thursday,20,20:31:00,Evening,Thursday Evening
2014-06-05 16:58:00,40.7378,-73.9901,Thursday,16,16:58:00,Afternoon,Thursday Afternoon
2014-09-25 03:40:00,40.7203,-73.9632,Thursday,3,03:40:00,Night,Thursday Night
2014-07-17 22:22:00,40.8311,-73.9494,Thursday,22,22:22:00,Night,Thursday Night
2014-06-18 21:07:00,40.7274,-73.9939,Wednesday,21,21:07:00,Night,Wednesday Night
2014-09-10 12:27:00,40.7654,-73.9548,Wednesday,12,12:27:00,Afternoon,Wednesday Afternoon
2014-09-13 18:40:00,40.7845,-73.9539,Saturday,18,18:40:00,Evening,Saturday Evening
2014-05-16 09:03:00,40.7162,-74.0123,Friday,9,09:03:00,Morning,Friday Morning
2014-06-18 06:03:00,40.7307,-73.9956,Wednesday,6,06:03:00,Morning,Wednesday Morning
2014-07-08 14:13:00,40.76,-73.9686,Tuesday,14,14:13:00,Afternoon,Tuesday Afternoon
2014-04-04 19:08:00,40.7559,-73.9768,Friday,19,19:08:00,Evening,Friday Evening
2014-09-24 12:13:00,40.7689,-73.9851,Wednesday,12,12:13:00,Afternoon,Wednesday Afternoon
2014-05-31 23:02:00,40.7317,-73.9854,Saturday,23,23:02:00,Night,Saturday Night
2014-07-30 06:20:00,40.7252,-73.9781,Wednesday,6,06:20:00,Morning,Wednesday Morning
2014-07-19 19:33:00,40.7421,-73.9536,Saturday,19,19:33:00,Evening,Saturday Evening
2014-04-27 15:37:00,40.7748,-73.9839,Sunday,15,15:37:00,Afternoon,Sunday Afternoon
2014-04-07 08:51:00,40.7368,-73.9886,Monday,8,08:51:00,Morning,Monday Morning
2014-08-19 16:26:00,40.7552,-73.9752,Tuesday,16,16:26:00,Afternoon,Tuesday Afternoon
2014-04-03 06:00:00,40.7244,-73.9911,Thursday,6,06:00:00,Morning,Thursday Morning
2014-04-23 18:09:00,40.7226,-73.9994,Wednesday,18,18:09:00,Evening,Wednesday Evening
2014-07-14 17:50:00,40.7214,-73.9956,Monday,17,17:50:00,Evening,Monday Evening
2014-06-24 07:42:00,40.7535,-73.9869,Tuesday,7,07:42:00,Morning,Tuesday Morning
2014-09-03 13:10:00,40.7133,-73.9775,Wednesday,13,13:10:00,Afternoon,Wednesday Afternoon
2014-08-24 23:16:00,40.7308,-73.9594,Sunday,23,23:16:00,Night,Sunday Night
2014-09-24 16:36:00,40.7732,-73.8856,Wednesday,16,16:36:00,Afternoon,Wednesday Afternoon
2014-07-25 18:09:00,40.7791,-73.9508,Friday,18,18:09:00,Evening,Friday Evening
2014-08-16 15:40:00,40.7562,-73.9715,Saturday,15,15:40:00,Afternoon,Saturday Afternoon
2014-09-30 17:07:00,40.7647,-73.968,Tuesday,17,17:07:00,Evening,Tuesday Evening
2014-08-13 18:35:00,40.7791,-73.9535,Wednesday,18,18:35:00,Evening,Wednesday Evening
2014-06-21 10:58:00,40.7437,-73.9583,Saturday,10,10:58:00,Morning,Saturday Morning
2014-09-11 20:39:00,40.7117,-74.0059,Thursday,20,20:39:00,Evening,Thursday Evening
2014-08-16 14:58:00,40.7684,-73.8624,Saturday,14,14:58:00,Afternoon,Saturday Afternoon
2014-08-02 15:39:00,40.8189,-73.9374,Saturday,15,15:39:00,Afternoon,Saturday Afternoon
2014-05-14 07:51:00,40.7887,-74.0303,Wednesday,7,07:51:00,Morning,Wednesday Morning
2014-07-16 06:10:00,40.668,-73.9787,Wednesday,6,06:10:00,Morning,Wednesday Morning
2014-05-10 13:37:00,40.7103,-73.9641,Saturday,13,13:37:00,Afternoon,Saturday Afternoon
2014-09-24 23:18:00,40.7329,-73.9975,Wednesday,23,23:18:00,Night,Wednesday Night
2014-09-19 20:25:00,40.7514,-73.9936,Friday,20,20:25:00,Evening,Friday Evening
2014-05-23 22:48:00,40.7441,-73.9896,Friday,22,22:48:00,Night,Friday Night
2014-07-16 21:58:00,40.7357,-73.998,Wednesday,21,21:58:00,Night,Wednesday Night
2014-07-12 07:25:00,40.7062,-73.9307,Saturday,7,07:25:00,Morning,Saturday Morning
2014-06-04 06:35:00,40.7664,-73.9604,Wednesday,6,06:35:00,Morning,Wednesday Morning
2014-07-23 15:07:00,40.6448,-73.7821,Wednesday,15,15:07:00,Afternoon,Wednesday Afternoon
2014-04-10 17:04:00,40.772,-73.963,Thursday,17,17:04:00,Evening,Thursday Evening
2014-07-15 17:59:00,40.7812,-73.9545,Tuesday,17,17:59:00,Evening,Tuesday Evening
2014-06-05 07:12:00,40.7818,-73.9602,Thursday,7,07:12:00,Morning,Thursday Morning
2014-07-09 13:01:00,40.6584,-73.99,Wednesday,13,13:01:00,Afternoon,Wednesday Afternoon
2014-08-02 18:01:00,40.733,-73.9911,Saturday,18,18:01:00,Evening,Saturday Evening
2014-08-08 19:44:00,40.756,-73.9752,Friday,19,19:44:00,Evening,Friday Evening
2014-06-29 14:38:00,40.7239,-73.9786,Sunday,14,14:38:00,Afternoon,Sunday Afternoon
2014-09-11 16:17:00,40.7692,-73.9531,Thursday,16,16:17:00,Afternoon,Thursday Afternoon
2014-04-12 09:14:00,40.7408,-73.9937,Saturday,9,09:14:00,Morning,Saturday Morning
2014-09-11 21:24:00,40.7395,-73.9829,Thursday,21,21:24:00,Night,Thursday Night
2014-08-28 11:31:00,40.7777,-73.9511,Thursday,11,11:31:00,Morning,Thursday Morning
2014-05-12 07:18:00,40.7739,-73.8726,Monday,7,07:18:00,Morning,Monday Morning
2014-08-30 17:39:00,40.8572,-73.9362,Saturday,17,17:39:00,Evening,Saturday Evening
2014-05-19 18:54:00,40.6417,-73.7878,Monday,18,18:54:00,Evening,Monday Evening
2014-04-18 20:55:00,40.6831,-73.9852,Friday,20,20:55:00,Evening,Friday Evening
2014-04-19 17:20:00,40.7359,-74.006,Saturday,17,17:20:00,Evening,Saturday Evening
2014-09-22 11:52:00,40.7505,-73.9954,Monday,11,11:52:00,Morning,Monday Morning
2014-05-09 21:42:00,40.7286,-74.0001,Friday,21,21:42:00,Night,Friday Night
2014-09-26 21:29:00,40.7592,-73.9945,Friday,21,21:29:00,Night,Friday Night
2014-07-29 07:00:00,40.7777,-73.9749,Tuesday,7,07:00:00,Morning,Tuesday Morning
2014-04-03 07:58:00,40.7741,-73.8722,Thursday,7,07:58:00,Morning,Thursday Morning
2014-09-27 17:22:00,40.7385,-73.9917,Saturday,17,17:22:00,Evening,Saturday Evening
2014-05-10 09:35:00,40.8048,-73.9362,Saturday,9,09:35:00,Morning,Saturday Morning
2014-08-12 06:04:00,40.749,-73.9727,Tuesday,6,06:04:00,Morning,Tuesday Morning
2014-06-17 06:44:00,40.7649,-73.9608,Tuesday,6,06:44:00,Morning,Tuesday Morning
2014-04-07 21:06:00,40.7477,-73.9822,Monday,21,21:06:00,Night,Monday Night
2014-04-05 19:58:00,40.765,-73.9638,Saturday,19,19:58:00,Evening,Saturday Evening
2014-06-03 21:02:00,40.7562,-73.9979,Tuesday,21,21:02:00,Night,Tuesday Night
2014-07-30 12:59:00,40.7481,-73.9879,Wednesday,12,12:59:00,Afternoon,Wednesday Afternoon
2014-09-19 10:12:00,40.7337,-74.0063,Friday,10,10:12:00,Morning,Friday Morning
2014-04-14 20:06:00,40.7605,-73.9816,Monday,20,20:06:00,Evening,Monday Evening
2014-09-16 11:44:00,40.7505,-73.9835,Tuesday,11,11:44:00,Morning,Tuesday Morning
2014-07-23 12:06:00,40.7231,-74.002,Wednesday,12,12:06:00,Afternoon,Wednesday Afternoon
2014-05-08 07:45:00,40.7113,-73.9676,Thursday,7,07:45:00,Morning,Thursday Morning
2014-04-30 05:54:00,40.7375,-74.0085,Wednesday,5,05:54:00,Morning,Wednesday Morning
2014-05-10 23:21:00,40.7364,-73.989,Saturday,23,23:21:00,Night,Saturday Night
2014-05-03 10:37:00,40.7459,-73.9995,Saturday,10,10:37:00,Morning,Saturday Morning
2014-05-06 13:42:00,40.7602,-73.9946,Tuesday,13,13:42:00,Afternoon,Tuesday Afternoon
2014-07-23 06:54:00,40.6855,-73.9978,Wednesday,6,06:54:00,Morning,Wednesday Morning
2014-09-29 19:58:00,40.7384,-73.9917,Monday,19,19:58:00,Evening,Monday Evening
2014-07-10 18:18:00,40.6868,-73.9546,Thursday,18,18:18:00,Evening,Thursday Evening
2014-07-17 13:54:00,40.762,-73.958,Thursday,13,13:54:00,Afternoon,Thursday Afternoon
2014-05-28 14:48:00,40.7245,-73.9975,Wednesday,14,14:48:00,Afternoon,Wednesday Afternoon
2014-05-05 17:43:00,40.754,-73.9898,Monday,17,17:43:00,Evening,Monday Evening
2014-05-21 17:33:00,40.755,-73.9735,Wednesday,17,17:33:00,Evening,Wednesday Evening
2014-04-29 03:52:00,40.7699,-73.867,Tuesday,3,03:52:00,Night,Tuesday Night
2014-04-05 22:16:00,40.7155,-73.9419,Saturday,22,22:16:00,Night,Saturday Night
2014-06-04 16:31:00,40.7403,-73.9905,Wednesday,16,16:31:00,Afternoon,Wednesday Afternoon
2014-07-24 17:19:00,40.747,-73.9965,Thursday,17,17:19:00,Evening,Thursday Evening
2014-07-27 02:14:00,40.7637,-73.9973,Sunday,2,02:14:00,Night,Sunday Night
2014-08-05 15:25:00,40.7214,-73.9884,Tuesday,15,15:25:00,Afternoon,Tuesday Afternoon
2014-08-14 09:05:00,40.737,-73.9739,Thursday,9,09:05:00,Morning,Thursday Morning
2014-09-09 10:42:00,40.734,-73.9806,Tuesday,10,10:42:00,Morning,Tuesday Morning
2014-07-01 21:20:00,40.6878,-74.1819,Tuesday,21,21:20:00,Night,Tuesday Night
2014-07-25 08:19:00,40.6827,-73.9421,Friday,8,08:19:00,Morning,Friday Morning
2014-05-20 22:29:00,40.7101,-73.9628,Tuesday,22,22:29:00,Night,Tuesday Night
2014-06-27 23:01:00,40.7297,-73.9902,Friday,23,23:01:00,Night,Friday Night
2014-07-08 07:27:00,40.7839,-73.9501,Tuesday,7,07:27:00,Morning,Tuesday Morning
2014-07-08 04:48:00,40.7164,-73.9912,Tuesday,4,04:48:00,Night,Tuesday Night
2014-07-29 16:19:00,40.7263,-73.9841,Tuesday,16,16:19:00,Afternoon,Tuesday Afternoon
2014-05-20 05:37:00,40.7414,-74.0014,Tuesday,5,05:37:00,Morning,Tuesday Morning
2014-06-03 16:32:00,40.7372,-74.0058,Tuesday,16,16:32:00,Afternoon,Tuesday Afternoon
2014-06-08 01:27:00,40.74,-74.0061,Sunday,1,01:27:00,Night,Sunday Night
2014-08-31 20:40:00,40.7195,-73.9642,Sunday,20,20:40:00,Evening,Sunday Evening
2014-05-19 05:47:00,40.6485,-73.785,Monday,5,05:47:00,Morning,Monday Morning
2014-08-05 13:46:00,40.7776,-74.0148,Tuesday,13,13:46:00,Afternoon,Tuesday Afternoon
2014-06-12 10:03:00,40.7704,-73.8651,Thursday,10,10:03:00,Morning,Thursday Morning
2014-09-30 12:15:00,40.7807,-73.9545,Tuesday,12,12:15:00,Afternoon,Tuesday Afternoon
2014-07-10 22:32:00,40.742,-73.9935,Thursday,22,22:32:00,Night,Thursday Night
2014-04-23 20:04:00,40.7623,-73.9861,Wednesday,20,20:04:00,Evening,Wednesday Evening
2014-07-15 06:36:00,40.7722,-73.9081,Tuesday,6,06:36:00,Morning,Tuesday Morning
2014-06-17 23:01:00,40.7063,-74.0093,Tuesday,23,23:01:00,Night,Tuesday Night
2014-08-29 17:27:00,40.7704,-73.8679,Friday,17,17:27:00,Evening,Friday Evening
2014-09-21 06:19:00,40.7403,-73.9885,Sunday,6,06:19:00,Morning,Sunday Morning
2014-05-26 17:46:00,40.6459,-73.7767,Monday,17,17:46:00,Evening,Monday Evening
2014-05-14 10:31:00,40.7652,-73.9714,Wednesday,10,10:31:00,Morning,Wednesday Morning
2014-09-18 09:43:00,40.7169,-74.0124,Thursday,9,09:43:00,Morning,Thursday Morning
2014-07-13 17:15:00,40.7435,-73.9736,Sunday,17,17:15:00,Evening,Sunday Evening
2014-06-25 16:03:00,40.753,-73.9871,Wednesday,16,16:03:00,Afternoon,Wednesday Afternoon
2014-09-11 17:59:00,40.6485,-73.7829,Thursday,17,17:59:00,Evening,Thursday Evening
2014-09-27 21:36:00,40.7076,-73.9407,Saturday,21,21:36:00,Night,Saturday Night
2014-07-05 21:47:00,40.72,-73.9924,Saturday,21,21:47:00,Night,Saturday Night
2014-08-22 08:01:00,40.7086,-73.952,Friday,8,08:01:00,Morning,Friday Morning
2014-04-07 14:40:00,40.784,-73.9567,Monday,14,14:40:00,Afternoon,Monday Afternoon
2014-06-10 21:33:00,40.7713,-73.9679,Tuesday,21,21:33:00,Night,Tuesday Night
2014-07-04 17:24:00,40.7641,-73.9802,Friday,17,17:24:00,Evening,Friday Evening
2014-06-13 14:00:00,40.7112,-73.9479,Friday,14,14:00:00,Afternoon,Friday Afternoon
2014-09-04 10:51:00,40.6777,-73.9625,Thursday,10,10:51:00,Morning,Thursday Morning
2014-08-14 18:57:00,40.7565,-73.9729,Thursday,18,18:57:00,Evening,Thursday Evening
2014-07-19 11:01:00,40.7429,-73.8256,Saturday,11,11:01:00,Morning,Saturday Morning
2014-07-21 21:20:00,40.759,-73.9924,Monday,21,21:20:00,Night,Monday Night
2014-06-27 12:10:00,40.753,-73.9713,Friday,12,12:10:00,Afternoon,Friday Afternoon
2014-09-28 00:16:00,40.751,-74.0042,Sunday,0,00:16:00,Night,Sunday Night
2014-06-19 20:39:00,40.7684,-73.8624,Thursday,20,20:39:00,Evening,Thursday Evening
2014-09-30 13:34:00,40.7419,-74.0036,Tuesday,13,13:34:00,Afternoon,Tuesday Afternoon
2014-06-27 21:53:00,40.7226,-73.983,Friday,21,21:53:00,Night,Friday Night
2014-08-22 15:25:00,40.7539,-73.9856,Friday,15,15:25:00,Afternoon,Friday Afternoon
2014-05-30 21:50:00,40.7249,-74.0077,Friday,21,21:50:00,Night,Friday Night
2014-04-07 19:29:00,40.7363,-74.003,Monday,19,19:29:00,Evening,Monday Evening
2014-08-26 11:50:00,40.7811,-73.8191,Tuesday,11,11:50:00,Morning,Tuesday Morning
2014-09-20 13:09:00,40.7772,-73.989,Saturday,13,13:09:00,Afternoon,Saturday Afternoon
2014-08-05 12:16:00,40.7521,-73.9797,Tuesday,12,12:16:00,Afternoon,Tuesday Afternoon
2014-09-12 20:42:00,40.7225,-73.9421,Friday,20,20:42:00,Evening,Friday Evening
2014-06-20 18:24:00,40.7535,-73.9749,Friday,18,18:24:00,Evening,Friday Evening
2014-05-10 22:19:00,40.7192,-73.9855,Saturday,22,22:19:00,Night,Saturday Night
2014-09-18 08:46:00,40.703,-73.9867,Thursday,8,08:46:00,Morning,Thursday Morning
2014-08-03 15:27:00,40.6447,-73.7821,Sunday,15,15:27:00,Afternoon,Sunday Afternoon
2014-06-12 16:50:00,40.6462,-73.7769,Thursday,16,16:50:00,Afternoon,Thursday Afternoon
2014-07-24 01:07:00,40.738,-73.9986,Thursday,1,01:07:00,Night,Thursday Night
2014-09-18 15:05:00,40.6767,-73.9476,Thursday,15,15:05:00,Afternoon,Thursday Afternoon
2014-08-20 08:46:00,40.6895,-73.9424,Wednesday,8,08:46:00,Morning,Wednesday Morning
2014-04-22 13:53:00,40.7684,-73.9806,Tuesday,13,13:53:00,Afternoon,Tuesday Afternoon
2014-07-30 06:29:00,40.7216,-73.9934,Wednesday,6,06:29:00,Morning,Wednesday Morning
2014-08-27 18:35:00,40.7338,-73.9809,Wednesday,18,18:35:00,Evening,Wednesday Evening
2014-04-30 14:29:00,40.7051,-74.0074,Wednesday,14,14:29:00,Afternoon,Wednesday Afternoon
2014-08-16 23:48:00,40.7199,-73.983,Saturday,23,23:48:00,Night,Saturday Night
2014-07-16 19:09:00,40.7539,-73.9764,Wednesday,19,19:09:00,Evening,Wednesday Evening
2014-08-16 19:42:00,40.7235,-74.0083,Saturday,19,19:42:00,Evening,Saturday Evening
2014-05-28 16:33:00,40.7604,-73.9748,Wednesday,16,16:33:00,Afternoon,Wednesday Afternoon
2014-06-06 07:36:00,40.7333,-73.995,Friday,7,07:36:00,Morning,Friday Morning
2014-06-05 18:52:00,40.7498,-73.9836,Thursday,18,18:52:00,Evening,Thursday Evening
2014-05-08 00:09:00,40.749,-73.9884,Thursday,0,00:09:00,Night,Thursday Night
2014-05-24 19:51:00,40.7589,-73.9642,Saturday,19,19:51:00,Evening,Saturday Evening
2014-08-20 17:45:00,40.7194,-73.9642,Wednesday,17,17:45:00,Evening,Wednesday Evening
2014-08-16 14:30:00,40.7437,-73.8827,Saturday,14,14:30:00,Afternoon,Saturday Afternoon
2014-08-02 02:09:00,40.7498,-74.0064,Saturday,2,02:09:00,Night,Saturday Night
2014-08-30 11:03:00,40.6758,-73.9556,Saturday,11,11:03:00,Morning,Saturday Morning
2014-05-08 08:38:00,40.7677,-73.9809,Thursday,8,08:38:00,Morning,Thursday Morning
2014-08-11 13:59:00,40.8412,-73.9428,Monday,13,13:59:00,Afternoon,Monday Afternoon
2014-07-18 03:47:00,40.7298,-73.9914,Friday,3,03:47:00,Night,Friday Night
2014-06-17 09:04:00,40.6733,-73.9788,Tuesday,9,09:04:00,Morning,Tuesday Morning
2014-09-06 20:30:00,40.7461,-73.9567,Saturday,20,20:30:00,Evening,Saturday Evening
2014-09-06 20:26:00,40.7711,-73.9658,Saturday,20,20:26:00,Evening,Saturday Evening
2014-06-17 22:06:00,40.7556,-73.9918,Tuesday,22,22:06:00,Night,Tuesday Night
2014-05-06 12:14:00,40.7235,-73.9961,Tuesday,12,12:14:00,Afternoon,Tuesday Afternoon
2014-08-02 22:12:00,40.6747,-73.9544,Saturday,22,22:12:00,Night,Saturday Night
2014-08-10 20:43:00,40.6432,-73.7895,Sunday,20,20:43:00,Evening,Sunday Evening
2014-05-13 19:57:00,40.7512,-74.0066,Tuesday,19,19:57:00,Evening,Tuesday Evening
2014-09-05 12:11:00,40.7683,-73.968,Friday,12,12:11:00,Afternoon,Friday Afternoon
2014-06-09 21:41:00,40.6833,-73.9662,Monday,21,21:41:00,Night,Monday Night
2014-09-25 09:16:00,40.7396,-73.9961,Thursday,9,09:16:00,Morning,Thursday Morning
2014-08-02 12:11:00,40.785,-73.9486,Saturday,12,12:11:00,Afternoon,Saturday Afternoon
2014-05-11 08:46:00,40.7224,-73.9873,Sunday,8,08:46:00,Morning,Sunday Morning
2014-06-27 23:24:00,40.7503,-73.987,Friday,23,23:24:00,Night,Friday Night
2014-06-20 21:28:00,40.7324,-74.0077,Friday,21,21:28:00,Night,Friday Night
2014-09-06 16:35:00,40.741,-73.9746,Saturday,16,16:35:00,Afternoon,Saturday Afternoon
2014-06-25 21:37:00,40.7553,-73.9872,Wednesday,21,21:37:00,Night,Wednesday Night
